id,link,name,status,lat,lng,year,first,area,population
73,Заводской (Воронежская область),Заводской,Посёлок,50.9793778,40.0408361,,,,7
74,Заречный (Воронежская область),Заречный,Посёлок,51.18111,39.82639,,,,196
75,Заря (Бобровский район),Заря,Хутор,51.1636472,40.4048278,,,,44
76,Зелёный Луг (Воронежская область),Зелёный Луг,Посёлок,51.06889,40.13417,,,,0
77,Карандеевка (Воронежская область),Карандеевка,Посёлок,51.0763722,39.8413639,,,,50
78,Кистенёвка,Кистенёвка,Посёлок,50.949972,40.1878917,,,,9
79,Копаня,Копаня,Посёлок,51.0482472,39.9460778,,,,75
80,Коршево (Воронежская область),Коршево,Село,51.19,40.12083,,,,1997
81,Липовка (Воронежская область),Липовка,Село,50.8602167,40.0292333,,,,661
82,Лугань (Воронежская область),Лугань,Посёлок,50.9240583,40.0137833,,,,20
83,Лушниковка (Воронежская область),Лушниковка,Посёлок,51.09722,40.09639,,,,543
84,Люблинский (Воронежская область),Люблинский,Посёлок,51.3066722,39.8542389,,,,0
85,Мечётка (Воронежская область),Мечётка,Село,50.91417,40.11278,,,,937
86,Митрофановка (Бобровский район),Митрофановка,Посёлок,51.00167,40.36528,,,,143
87,Морозовка (Бобровский район),Морозовка,Посёлок,50.8900778,40.2538111,,,,1
88,Неждановка (Воронежская область),Неждановка,Посёлок,51.0253028,39.97835,,,,74
89,Нескучный,Нескучный,Посёлок,51.1378639,39.7852333,,,,159
90,Николо-Варваринка,Николо-Варваринка,Село,51.00667,39.97861,,,,956
91,Новый Буравль,Новый Буравль,Село,50.9677528,40.2071167,,,,87
92,Павловка (Бобровский район),Павловка,Село,50.9772111,40.0916472,,,,1
93,Песковатка (Бобровский район),Песковатка,Село,51.25639,39.94972,,,,448
94,Петрово-Борковский,Петрово-Борковский,Посёлок,51.019556,39.932,,,,124
95,Погромок,Погромок,Посёлок,51.25,39.83,,,,73
96,Прохладный (Воронежская область),Прохладный,Хутор,51.35972,39.87611,,,,0
97,Пчелиновка (Воронежская область),Пчелиновка,Село,50.94167,39.99639,,,,634
98,Пятилетка 2-я,Пятилетка 2-я,Посёлок,51.32667,39.94917,,,,0
99,Раздольный (Воронежская область),Раздольный,Хутор,51.13889,39.81639,,,,71
100,Семёно-Александровка,Семёно-Александровка,Село,51.04111,40.21444,,,,1772
101,Серов (Воронежская область),Серов,Хутор,50.77694,40.00528,,,,1
102,Слобода (Воронежская область),Слобода,Село,51.14,40.29,1845,,,3686
103,Советский (Бобровский район),Советский,Посёлок,50.8735722,40.2201639,,,,0
104,Соколовский (Бобровский район),Соколовский,Хутор,51.04565,39.8353583,,,,110
105,Сухая Берёзовка (село),Сухая Берёзовка,Село,51.1779111,39.9992944,,,,1176
106,Тройня (село),Тройня,Село,51.03944,40.43389,,,,359
107,Филатовка (Воронежская область),Филатовка,Посёлок,50.929583,40.242825,,,,14
108,Хренище,Хренище,Хутор,51.104083,39.7857944,,,,99
109,Хреновое (Бобровский район),Хреновое,Село,51.12,40.28667,,XVIII век,,4983
110,Центральная Усадьба Бобровского Лесничества,Центральная Усадьба Бобровского Лесничества,Посёлок,51.131019,40.273774,,,,1
111,Чесменка (Воронежская область),Чесменка,Село,51.29028,40.17028,,,,1112
112,Шестаково (Воронежская область),Шестаково,Село,50.79167,40.05,1701,,,1917
113,Шестикурганный,Шестикурганный,Хутор,51.0774333,40.3917806,,,,158
114,Шишовка (Воронежская область),Шишовка,Село,51.24444,40.19389,,,,1153
115,Шкарин (хутор),Шкарин,Хутор,51.123694,40.3801083,,,,153
116,Юдановка (Воронежская область),Юдановка,Село,51.2736278,39.8346694,,,,611
117,Ясенки (Воронежская область),Ясенки,Посёлок,51.0530083,39.9735444,,,,1891
118,Абросимово (Воронежская область),Абросимово,Село,49.887444,40.8977611,,1645,,94
119,Батовка,Батовка,Хутор,49.5972417,40.5421444,,,,139
120,Белая Горка 1-я,Белая Горка 1-я,Село,49.7930361,40.9417056,,,,169
121,Белая Горка 2-я,Белая Горка 2-я,Село,49.7898778,40.970889,,,,12
122,Белый Колодезь (Воронежская область),Белый Колодезь,Хутор,49.986225,40.2420333,,,,22
123,Богучар,Богучар,Город,49.93333,40.55,1704,,13[1] км²,11048
124,Варваровка (Богучарский район),Варваровка,Хутор,49.7415194,40.4488167,,,,519
125,Вервековка,Вервековка,Село,49.9229194,40.4713722,,,,499
126,Вишнёвый (Воронежская область),Вишнёвый,Посёлок,49.97917,40.40111,1978,,,330
127,Галиевка (Воронежская область),Галиёвка,Хутор,49.98083,40.635,,,,603
128,Грушовое (Богучарский район),Грушовое,Село,50.00972,40.60361,,,,139
129,Данцевка,Данцевка,Село,49.9087306,40.26675,,,,554
130,Дубовиково,Дубовиково,Село,50.0146417,40.3045167,,,,59
131,Дубрава (Воронежская область),Дубрава,Посёлок,49.85139,40.77806,1841,,,66 человек (2005
132,Дьяченково,Дьяченково,Село,49.9112278,40.5998222,1730,,,2288
133,Дядин (Воронежская область),Дядин,Хутор,49.8330361,40.530472,,,,333
134,Журавка (Богучарский район),Журавка,Село,50.0481361,40.5973389,,,,552
135,Залиман (Воронежская область),Залиман,Село,49.94667,40.57833,1720,,,2569
136,Каразеево,Каразеево,Село,49.700194,40.7808861,,,,78
137,Кравцово (Воронежская область),Кравцово,Хутор,49.6458667,40.5833417,,,,81
138,Красногоровка (Воронежская область),Красногоровка,Село,49.9233222,40.7676417,,1773,,482
139,Краснодар (Воронежская область),Краснодар,Хутор,49.895425,40.2427167,,,,128
140,Криница (Богучарский район),Криница,Село,49.7113639,40.6108083,,,,509
141,Купянка (Воронежская область),Купянка,Село,49.9023583,40.545575,1846,,,1062
142,Лебединка (Воронежская область),Лебединка,Село,49.6516639,40.4329667,,1792,,760
143,Липчанка,Липчанка,Село,49.78583,40.46444,,,,809
144,Лофицкое,Лофицкое,Село,49.9125,40.45778,,,,748
145,Луговое (Воронежская область),Луговое,Село,49.9089972,40.3319833,1740,,,841
146,Марьевка (Богучарский район),Марьевка,Хутор,49.7365667,40.3641833,,,,26
