id,link,name,status,lat,lng,year,first,area,population
403,Евдаково (село),Евдаково,Село,50.75083,39.38528,,,,76
404,Ивченково,Ивченково,Хутор,50.67785,39.5495167,,,,2
405,"Каменка (посёлок городского типа, Воронежская область)",Каменка,Посёлок городского типа,50.7125,39.43278,1750,XVIII век,,7953
406,Карпенково (Воронежская область),Карпенково,Село,50.616575,39.339917,,,,83
407,Кириченково (Воронежская область),Кириченково,Село,50.692875,39.3897,,,,18
408,Коденцово,Коденцово,Село,50.60722,39.44472,,,,647
409,Козки,Козки,Хутор,50.7967611,39.6974889,,,,6
410,Крутец (Воронежская область),Крутец,Хутор,50.7962139,39.47475,,,,98
411,Лесково (Каменский район),Лесково,Хутор,50.701775,39.5682278,,,,
412,Ляпино (Воронежская область),Ляпино,Хутор,50.7692472,39.379475,,,,4
413,Марки (Воронежская область),Марки,Село,50.7793944,39.6782639,,,,2
414,Михново (Воронежская область),Михново,Хутор,50.742917,39.3236861,,,,3
415,Молчаново (Воронежская область),Молчаново,Хутор,50.6582111,39.5419639,,,,4
416,Новиковский (Воронежская область),Новиковский,Хутор,50.69545,39.5994694,,,,51
417,Ольхов Лог,Ольхов Лог,Село,50.5713139,39.2621583,,,,
418,Орехово (Воронежская область),Орехово,Хутор,50.5421,39.23225,,,,
419,Панково (Каменский район),Панково,Хутор,50.56375,39.36385,,,,
420,Пилипы (Воронежская область),Пилипы,Село,50.6455528,39.5066,,,,
421,Рождественский (Воронежская область),Рождественский,Хутор,50.7683361,39.7489861,,,,6
422,Рыбальчино,Рыбальчино,Хутор,50.7692472,39.4388722,,,,16
423,Свистовка (Воронежская область),Свистовка,Хутор,50.6244361,39.23795,,,,
424,Себелево,Себелево,Хутор,50.702,39.66,,,,
425,Ситниково (Воронежская область),Ситниково (Пушкино),Хутор,50.6806361,39.2995639,,,,
426,Солонцы (Каменский район),Солонцы,Хутор,50.7065694,39.5805889,,,,
427,Сончино (Воронежская область),Сончино,Село,50.6912861,39.5096917,,,,
428,Татарино (Воронежская область),Татарино,Село,50.58639,39.13278,,,,
429,Тимирязево (Каменский район),Тимирязево,Село,50.718075,39.3803361,,,,36
430,Трёхстенки,Трехстенки,Село,50.66083,39.44222,,,,
431,Тхоревка,Тхоревка,Село,50.7038389,39.3284028,,,,
432,Фриденфельд (хутор),Фриденфельд,Хутор,50.5448278,39.2457417,1923,,,
433,Хвощеватый (Каменский район),Хвощеватый,Хутор,50.65833,39.23667,,,,
434,Шапошниково (Воронежская область),Шапошниково,Хутор,50.64075,39.4781056,,,,
435,Щербаково (Воронежская область),Щербаково,Село,50.80389,39.34639,,,,
436,Ярки (Каменский район),Ярки,Село,50.73556,39.26639,,,,
437,Ясеново (Воронежская область),Ясеново,,50.80278,39.39972,,,,20
438,Андрюшевка (Воронежская область),Андрюшевка,Село,49.68139,40.21972,,,,9
439,Бондарево (Воронежская область),Бондарево,Село,49.79528,39.4375,,,,8
440,Бык (Воронежская область),Бык,Хутор,49.62028,40.02389,,,,
441,Валентиновка (Воронежская область),Валентиновка,Село,49.9325,39.74528,,,, 280 человек (2010
442,Васильевка (Кантемировский район),Васильевка,Хутор,49.93667,39.66528,,,,
443,Викторовка (Воронежская область),Викторовка,Село,49.69167,40.23528,,,,6
444,Волоконовка (Воронежская область),Волоконовка,Село,49.8425,39.38833,,,,38
445,Гармашевка,Гармашевка,Сельское поселение,49.6475,40.07583,,,,02 человека (2010
446,Гартмашевка,Гартмашевка,Посёлок при станции,49.60694,39.97278,,,,0
447,Дальний Россоховатый,Дальний Россоховатый,Хутор,49.61361,39.97278,,,,8
448,Евдокиевка (Воронежская область),Евдокиевка,Село,49.96611,39.73194,,,,78
449,Журавка (Кантемировский район),Журавка,Село,49.78583,39.78306,,,,22
450,Зайцевка (Воронежская область),Зайцевка,Село,49.68583,40.00972,,,,45
451,Златополь (Воронежская область),Златополь,Хутор,49.87528,39.59139,,,,3
452,Казимировка (Воронежская область),Казимировка,Хутор,49.73056,39.77556,,,,60
453,Кантемировка,Кантемировка,Посёлок городского типа,49.70167,39.85361,1742,XVIII век,,10704
454,Каплин (хутор),Каплин,Хутор,49.79667,40.22889,,,,
455,Касьяновка (Воронежская область),Касьяновка,Село,49.74056,39.79,,,,6
456,Коваленковский,Коваленковский,Посёлок,49.72528,40.25028,,,,0
457,Колесниковка (Кантемировский район),Колесниковка,Село,49.66972,40.11583,,,,5
458,Колещатовка,Колещатовка,Село,49.57889,39.89083,,,,8
459,Криничный (Воронежская область),Криничный,Хутор,49.67306,40.3375,,,,0
460,Кузнецовский (Воронежская область),Кузнецовский,Посёлок,49.70056,40.30167,,,,11
461,Куликовка (Воронежская область),Куликовка,Село,49.84056,39.51556,,,,59
462,Лебедев (Воронежская область),Лебедев,Хутор,49.87611,39.73528,,,,
463,Лиман (Воронежская область),Лиман,Хутор,49.89861,39.755,,,,9
464,Митрофановка (Кантемировский район),Митрофановка,Село,49.96833,39.69417,,,, 6199 человек (2012
465,Михайловка (Кантемировский район),Михайловка,Село,49.88556,39.63028,,,,28
466,Новобелая (Воронежская область),Новобелая,Село,49.81333,39.30306,,,,1315
467,Новомарковка (Воронежская область),Новомарковка,Село,49.71667,39.74917,,,,
468,Осиковка,Осиковка,Село,49.66639,40.26917,,,,
469,Пасеково (Воронежская область),Пасеково,Хутор,49.86333,39.72722,,,,
470,Пасюковка,Пасюковка,Село,49.81611,39.70389,,,,
471,Первомайский (Кантемировский район),Первомайский,Посёлок,49.73139,39.99194,,,,
472,Писаревка (Кантемировский район),Писаревка,Село,49.88333,40.18444,,,,
473,Попасное (Кантемировский район),Попасное,Село,49.67639,39.64444,,,,
474,Посёлок Охрового Завода,Охрового Завода,Посёлок,49.76944,39.84194,1912,,,
475,Рудаевка,Рудаевка,Село,49.77583,40.10806,,,,
476,Сергеевка (Кантемировский район),Сергеевка,Хутор,49.65722,40.21639,,,,
477,Скнаровка,Скнаровка,Село,49.81278,39.93972,,,,
478,Смаглеевка,Смаглеевка,Село,49.79722,39.89528,,,,
479,Солонцы (Кантемировский район),Солонцы,Хутор,49.92667,39.71333,,,,
480,Солёный (Воронежская область),Солёный,Хутор,49.83222,39.65444,,,,47
481,Софиевка (Воронежская область),Софиевка,Село,49.96556,39.60611,,,,
482,Талы (Воронежская область),Талы,Село,49.85444,40.07278,,,,674 человека (2014
483,Титаревка,Титаревка,Село,49.74417,40.16139,,,,12
484,Фисенково,Фисенково,Село,49.90167,39.83139,,,,46 человек (2010
485,Хрещатый (Воронежская область),Хрещатый,Хутор,49.61806,39.70111,,,,
486,Чехуровка,Чехуровка,Село,49.82722,39.98361,,,,
487,Шевченко (Воронежская область),Шевченко,Хутор,50.02139,39.74,,,,
488,Шевченково (Воронежская область),Шевченково,Село,49.84806,39.8025,,,,55
489,Штеповка (Воронежская область),Штеповка,Хутор,49.64278,40.25556,,,,
490,40 лет Октября (Воронежская область),40 лет Октября,Посёлок,51.44139,39.22083,,,,4
491,Бирюченское,Бирюченское,Село,51.41944,39.52778,,,,48
492,Боево (Воронежская область),Боево,Населённый пункт,51.39444,39.31972,1769,,9.349 тыс. га км²,1961
493,Верхнее Марьино,Верхнее Марьино,Село,51.28028,39.51278,,,,8
494,Данково (Воронежская область),Данково,Село,51.29083,39.5325,,,,226
495,Запрудское,Запрудское,Село,51.34833,39.72556,,,,683
496,Каменно-Верховка,Каменно-Верховка,Село,51.35806,39.1525,1769,,,437
497,Карамышево (Воронежская область),Карамышево,Посёлок,51.26389,39.54028,,,,1
498,Каширское (Воронежская область),Каширское,Село,51.40833,39.59167,,,,4342
499,Колодезный (Воронежская область),Колодезный (Воронежская область),Г,51.35,39.29611,,,, 000 человек (2021  Население
500,Коломенское (Воронежская область),Коломенское,Село,51.43667,39.66722,,,,29
501,Коммуна (Воронежская область),Коммуна,Посёлок,51.2325,39.68889,,,,7
502,Кондрашкино,Кондрашкино,Село,51.395,39.67917,,,,97
503,Красная Хворостань,Красная Хворостань,Посёлок,51.445,39.7275,,,, челове
504,Красные Солонцы (Каширский район),Красные Солонцы,Посёлок,51.46667,39.65361,,,,9
505,Красный Лог (Каширский район),Красный Лог,Село,51.38694,39.7725,,,,483 человека (2010
506,Круглое (Воронежская область),Круглое,Село,51.32583,39.29694,,,,26
507,Ламакин (хутор),Ламакин,Хутор,51.42833,39.47861,,,, челове
508,Левая Россошь,Левая Россошь,Село,51.33389,39.40167,,,,1054
509,Михайловка (Каширский район),Михайловка,Хутор,51.28444,39.28556,,,,6
510,Михалёвский (хутор),Михалёвский,Хутор,51.29917,39.72889,,,,
511,Можайское (Воронежская область),Можайское,Село,51.31583,39.6525,959,,,22
512,Мосальское (Воронежская область),Мосальское,Село,51.34306,39.53417,,,,537
513,Олень-Колодезь,Олень-Колодезь,Село,51.37056,39.24417,1770,,,
514,Посёлок имени Дзержинского (Воронежская область),имени Дзержинского,Посёлок,51.45528,39.23056,,,,838
515,Рябчево,Рябчево,Посёлок,51.31361,39.49889,,,,
516,Солонцы (Каширский район),Солонцы,Село,51.31028,39.45083,,,,
517,Старина (Воронежская область),Старина,Село,51.30389,39.49917,,,,
518,Степной (Воронежская область),Степной,Посёлок,51.2775,39.73,,,,
519,"Аношкино (посёлок, Воронежская область)",Аношкино,Посёлок,51.240361,39.3537361,,,,56
520,"Аношкино (село, Воронежская область)",Аношкино,Село,51.2013389,39.269278,,,,25
521,Берёзово (Лискинский район),Берёзово,Хутор,51.09111,39.57833,,,,1 человек (2011
522,Бодеевка,Бодеевка,Село,51.11889,39.28222,,,,3
523,Владимировка (Лискинский район),Владимировка,Село,50.831825,39.8826028,,,,60
524,Вознесеновка (Лискинский район),Вознесеновка,Село,51.17472,39.43722,,,,1095
525,Высокое (Лискинский район),Высокое,Село,51.05306,39.48778,,,,294
526,Вязники (Воронежская область),Вязники,Хутор,50.9722944,39.4008667,,,,6
527,Давыдовка (Воронежская область),Давыдовка,Посёлок городского типа,51.1540889,39.4301472,1766,,,4784
528,Демченков (хутор),Демченков,Хутор,50.8536889,39.3536556,,,,8
529,Дивногорье (Воронежская область),Дивногорье,Хутор,50.9503972,39.2913472,,,,51
530,Дмитриевка (Лискинский район),Дмитриевка,Село,51.2021083,39.4626083,,,,62
531,Добрино (Воронежская область),Добрино,Село,51.2305722,39.5299,,,,96
532,Дракино (Лискинский район),Дракино,Село,51.1409333,39.4088139,1770,,,150 человек (2007
533,Дубовый (Лискинский район),Дубовый,Хутор,51.067775,39.717528,,,,7
534,Духовое (Лискинский район),Духовое,Село,50.960667,39.7996778,,,,4
535,Екатериновка (Лискинский район),Екатериновка,Слобода,50.840175,39.676425,,,,51
536,Ермоловка (Воронежская область),Ермоловка,Село,51.1922667,39.4260972,,,,89
537,Залужное (Воронежская область),Залужное,Село,50.9473639,39.5213667,,,,970
538,Калач (хутор),Калач,Хутор,50.99139,39.44361,,,,295
539,Ковалёво (Воронежская область),Ковалёво,Село,50.883361,39.3961028,,,,303
540,Коломыцево (Воронежская область),Коломыцево,Село,50.8793167,39.5278972,,,,31
541,Колыбелка,Колыбелка,Село,50.8407278,39.826375,,1653[1],,309
542,Копанище,Копанище,Село,51.0039333,39.3339194,,,,880
543,Лиски,Лиски,Город,50.98222,39.49944,1965 год,в 1576 году упоминается деревня Покровка,65[1] км²,53504
544,"Лиски (село, Воронежская область)",Лиски,Село,50.945,39.48944,,,,490
545,Лискинское,Лискинское,Село,51.02444,39.5475,,,,505
546,Луговой (Лискинский район),Луговой,Хутор,51.1682333,39.4104222,,,,95
547,Масловка (Воронежская область),Масловка,Микрорайон,51.0005333,39.7585111,,,,34
548,Машкино (Воронежская область),Машкино,Село,51.14083,39.34167,,,,73
549,Мелахино,Мелахино,Село,50.8577,39.333575,,,,1
550,Мисево,Мисево,Село,50.8685639,39.3219028,,,,3
551,Михайловский (Лискинский район),Михайловский,Хутор,50.8924833,39.6157833,,,,3 человека (2011
552,Нижнемарьино,Нижнемарьино,Село,51.2234583,39.4928194,,,,190
553,Нижний Икорец,Нижний Икорец,Село,50.9793111,39.7107583,,,,696
554,Николаевка (Лискинский район),Николаевка,Село,50.9,39.806,,,,0
555,Никольский (Лискинский район),Никольский,Хутор,50.944325,39.5721778,,,,52
556,Новая Грань,Новая Грань,Хутор,50.8723361,39.6716194,,,,4 человек (2011
557,Новозадонский,Новозадонский,Хутор,51.12389,39.3125,,,,5
558,Новониколаевский (Воронежская область),Новониколаевский,Хутор,51.10889,39.24889,,,,
559,Осинки (Лискинский район),Осинки,Хутор,51.2420861,39.2586361,,,,1 человек (2011
560,Первое Мая (Воронежская область),Первое Мая,Хутор,50.8912333,39.594028,,,, человека (2011
561,Переезжее,Переезжее,Село,50.9169639,39.75725,,,,
562,Песковатка (Лискинский район),Песковатка,Село,51.0638833,39.7934,,,,
563,Петровское (Лискинский район),Петровское,Село,50.8547389,39.6153139,,,,
564,Петропавловка (Лискинский район),Петропавловка,Село,51.0043667,39.1986444,,,,
565,Подлесный (Лискинский район),Подлесный,Хутор,51.01528,39.38667,,,,
566,Попасное (Лискинский район),Попасное,Хутор,50.8645444,39.4763972,,,,
567,Посёлок 2-го отделения совхоза «2-я Пятилетка»,2-го отделения совхоза «2-я Пятилетка»,Посёлок,51.06694,39.58083,,,,5
568,Посёлок санатория имени Цюрупы,санатория имени Цюрупы,Посёлок,51.0304333,39.7807944,,,,89
569,Посёлок совхоза «2-я Пятилетка»,совхоза «2-я Пятилетка»,Посёлок,51.07778,39.53528,,,,161
570,Почепское,Почепское,Село,51.18722,39.47139,,,,130
571,Прияр,Прияр,Хутор,50.7878194,39.8587333,,,,17 человек (2010
572,Прогонный (Воронежская область),Прогонный,Хутор,51.1626222,39.3960028,1959,,,
573,Путчино (Воронежская область),Путчино,Хутор,50.8642472,39.384775,,,,
574,Пухово (Воронежская область),Пухово,Село,50.8562861,39.4262722,,,,
575,Рождествено (Воронежская область),Рождествено,Село,51.2475972,39.5371083,,,,
576,Свобода (Лискинский район),Свобода,Хутор,50.81972,39.73583,,,, человек (2011
577,Солонцы (Лискинский район),Солонцы,Хутор,51.0154778,39.7698417,,,,
578,Среднеикорецкой больницы,Среднеикорецкой больницы,Посёлок,51.0550917,39.7959333,,,,6 человек (2011
579,Средний Икорец,Средний Икорец,Село,51.07361,39.75333,неизвестно,,,946
580,Старая Покровка (Воронежская область),Старая Покровка,Хутор,51.01056,39.42,,,,
581,Старая Хворостань,Старая Хворостань,Село,51.17361,39.3025,,,,
582,Сторожевое 2-е,Сторожевое 2-е,Село,51.1133639,39.6566444,,,,
583,Стрелка (Воронежская область),Стрелка,Хутор,51.0442722,39.7622889,,,,65
584,Студёновка (Лискинский район),Студёновка,Хутор,51.1522583,39.3860472,,,,9 человек (2011
585,Титчиха (хутор),Титчиха,Хутор,51.174275,39.264,,,,
586,Тресоруково,Тресоруково,Село,51.2109528,39.5185694,,,,
587,Троицкое (Лискинский район),Троицкое,Село,51.08111,39.23444,,,,1019
588,Фёдоровский (Воронежская область),Фёдоровский,Хутор,51.1193278,39.775175,,,,9
589,Шепелев (хутор),Шепелев,Хутор,50.9003,39.3724139,,,,1
590,Щучье (Лискинский район),Щучье,Село,50.9381139,39.7385667,,,,29
591,Андреевка (Нижнедевицкий район),Андреевка,Деревня,51.6825389,38.5273028,,,,60
592,Афонино (Воронежская область),Афонино,Хутор,51.6762417,38.4752889,,,,5
593,Бобров (Нижнедевицкий район),Бобров,Хутор,51.4383694,38.5279889,,,,
594,Большая Мездрянка,Большая Мездрянка,Хутор,51.4016333,38.5979389,,,,
595,Бор (Нижнедевицкий район),Бор,Село,51.5109194,38.4005861,,,,1
596,Верхнее Турово,Верхнее Турово,Село,51.6126972,38.585325,,,,1384
597,Верховье (Воронежская область),Верховье,Хутор,51.2830306,38.5055472,,,,
598,Вязноватовка,Вязноватовка,Село,51.5772,38.4685944,,,,1016
599,Глазово (Нижнедевицкий район),Глазово,Село,51.5041722,38.5051278,,,,82
600,Губаново (Воронежская область),Губаново,Хутор,51.663861,38.3389889,,,,3
601,Дмитриевский (Воронежская область),Дмитриевский,Хутор,51.2835222,38.3646278,,,,97
602,Долгий (Воронежская область),Долгий,Хутор,51.312325,38.5121639,,,,
603,Дружба (Нижнедевицкий район),Дружба,Хутор,51.26015,38.5486583,,,,
604,Золотой (Воронежская область),Золотой,Хутор,51.4081056,38.559925,,,,
605,Каменный Буерак (Воронежская область),Каменный Буерак,Хутор,51.3828528,38.3114028,,,,0
606,Ключи (Нижнедевицкий район),Ключи,Хутор,51.2641167,38.5829833,,,,
607,Князев (хутор),Князев,Хутор,51.6504083,38.4770056,,,,1
608,Колесников (Воронежская область),Колесников,Хутор,51.4563917,38.4837083,,,,
609,Комяга (хутор),Комяга,Хутор,51.4344833,38.4402389,,,,
610,Курбатово (Воронежская область),Курбатово,Посёлок,51.6470972,38.5829222,,,,068 человек (2016) челове
611,Кучугуры (Воронежская область),Кучугуры,Село,51.5968778,38.3146139,,,,75
612,Лавров (Воронежская область),Лавров,Хутор,51.426139,38.5647333,,,,3
613,Лебяжье (Нижнедевицкий район),Лебяжье,Село,51.3324139,38.3457694,,,,3
614,Лог (Воронежская область),Лог,Село,51.575917,38.3692028,,,,22
615,Малиновка (Нижнедевицкий район),Малиновка,Хутор,51.686275,38.4285972,,,,
616,Михнёво (Воронежская область),Михнёво,Село,51.4735472,38.55889,,,,70
617,Моховой (Воронежская область),Моховой,Хутор,51.4125889,38.405222,,,,4
618,Нижнедевицк (посёлок),Нижнедевицк,Посёлок,51.6849667,38.3247,,,,70
619,Нижнедевицк (село),Нижнедевицк,Село,51.54833,38.36861,,XVII век,,656 человек (2016
620,Нижнее Турово,Нижнее Турово,Село,51.5350389,38.6138194,1648 год.,1648,,488
621,Новая Ольшанка (Воронежская область),Новая Ольшанка,Село,51.6494222,38.3918194,,,,14
622,Острянка,Острянка,Село,51.29194,38.40472,,,,
623,Парный (хутор),Парный,Хутор,51.6122694,38.311525,,,, человека (2019
624,Парточки (Воронежская область),Парточки,Хутор,51.5849028,38.273417,,,,
625,Першино (Воронежская область),Першино,Село,51.4953722,38.3799194,,,,
626,Петровка (Нижнедевицкий район),Петровка,Посёлок,51.5135972,38.4526,,,,
627,Плотницкий (хутор),Плотницкий,Хутор,51.4289278,38.600775,19-20 век,,,4 человек (2019
628,Подорожное (Воронежская область),Подорожное,Хутор,51.67972,38.34333,,,,
629,Поляна (Нижнедевицкий район),Поляна,Хутор,51.67667,38.35583,,,,
630,Посёлок совхоза «Кучугуровский»,Совхоза «Кучугуровский»,Посёлок,51.4208556,38.3196417,,,,
631,Посёлок совхоза «Нижнедевицкий»,Совхоза «Нижнедевицкий»,Посёлок,51.625,38.246,,,,
632,Проточный (Воронежская область),Проточный,Хутор,51.6995,38.4645,,,,
633,Семёнов (Воронежская область),Семёнов,Хутор,51.2540917,38.4505694,,,,
634,Синие Липяги,Синие Липяги,Село,51.37845,38.4807528,,,,357 человек (2010
635,Скупая Потудань (село),Скупая Потудань,Село,51.23528,38.49417,,,,
636,Скупой (хутор),Скупой,Хутор,51.3426528,38.6168778,XIX-XX век,,, человека (2019
637,Старых (хутор),Старых,Хутор,51.6667417,38.5911611,,,,
638,Сычёвка (Воронежская область),Сычёвка,Хутор,51.4286889,38.4017889,,,,
639,Фролов (Воронежская область),Фролов,Хутор,51.299525,38.3199417,,,,
640,Хвощеватовка,Хвощеватовка,Село,51.4098222,38.341575,,,,
641,Широкий (Нижнедевицкий район),Широкий,Хутор,51.644761,38.156308,,,,
642,2-го отделения совхоза «Масловский»,2-го отделения совхоза «Масловский»,Посёлок,51.5,39.44,,,,335
643,2-го отделения совхоза «Новоусманский»,2-го отделения совхоза «Новоусманский»,Посёлок,51.5010083,39.4373944,,,,189
644,Александровка (Новоусманский район),Александровка,Село,51.6014919,39.3261248,,,,550
645,Андреевка (Новоусманский район),Андреевка,Посёлок,51.7820528,39.7371197,,,,81
646,Бабяково,Бабяково,Село,51.68833,39.37278,1595,1595,,2678
647,Битюг (Воронежская область),Битюг,Посёлок,51.594517,39.764052,,,,17
648,Благодатный (Воронежская область),Благодатный,Посёлок,51.77388763,39.77916718,,,,0
649,Веневитинский,Веневитинский,Посёлок,51.8127456,39.3857998,,,,1
650,Волна-Шепелиновка,Волна-Шепелиновка,Посёлок,51.5955077,39.6243596,,,,20
651,Воля (Новоусманский район),Воля,Посёлок,51.76556,39.53722,,,,803 человека (2010
652,Горенские Выселки,Горенские Выселки,Село,51.5502306,39.7474408,,,,89 человек (2008
653,Горки (Воронежская область),Горки,Село,51.7150002,39.5841675,,,,389
654,Дружелюбие (посёлок),Дружелюбие,Посёлок,51.54333496,39.5280571,,,,204
655,Казанская Хава,Казанская Хава,Село,51.5790429,39.7132587,,,,26 человек (2010
656,Крыловка (Воронежская область),Крыловка,Село,51.5181676,39.6640348,,,,61 человек (2010
657,Лекарственный,Лекарственный,Посёлок,51.4973489,39.5942652,,,,323
658,Лутовиновка (Воронежская область),Лутовиновка,Деревня,51.5524195,39.7032165,,,,9
659,Луч (Воронежская область),Луч,Посёлок,51.6098497,39.4881649,,,,32
660,Макарье (Воронежская область),Макарье,Село,51.77611,39.65361,,,,48 человек (2007
661,Маклок (Воронежская область),Маклок,Посёлок,51.811597,39.4142085,,,,15
662,Малые Горки (Воронежская область),Малые Горки,Посёлок,51.69388962,39.6016655,,,,44
663,Михайловка (Новоусманский район),Михайловка,Деревня,51.5037469,39.6713733,,,,688
664,Нечаевка (Воронежская область),Нечаевка,Посёлок,51.6294196,39.3530702,,,,246
665,Нижняя Катуховка,Нижняя Катуховка,Село,51.6837583,39.880375,,,,604
666,Никольское (Новоусманский район),Никольское,Посёлок,51.68972,39.75222,,1859,,2 человека (2007
667,Новая Усмань,Новая Усмань,Село,51.64389,39.41028,,1598,34.519 км² км²,29270
668,Новосёлки (Воронежская область),Новосёлки,Посёлок,51.596833,39.7830111,,,,
669,Орлово (Воронежская область),Орлово,Село,51.75139,39.59417,1645,,,427 человек (2016
670,Отрадное (Новоусманский район),Отрадное,Посёлок,51.6567917,39.334944,1968,,,4581
671,Парусное (Воронежская область),Парусное,Деревня,51.5868417,39.5216846,,,,920
672,Петропавловка (Новоусманский район),Петропавловка,Посёлок,51.66806,39.74722,,XVIII век,,125 человек (2007
673,Плясово-Китаево,Плясово-Китаево,Посёлок,51.7125,39.66944,,,, человека (2007
674,Плясово-Снежково,Плясово-Снежково,Посёлок,51.67944,39.64278,,,,5 человек (2007
675,Подклетное (Новоусманский район),Подклетное,Деревня,51.5885892,39.4638348,,,,179
676,Посёлок совхоза «Воронежский»,Совхоза «Воронежский»,Посёлок,51.6704778,39.2980444,,,,1870
677,Посёлок южного отделения совхоза имени Дзержинского,Южного отделения совхоза имени Дзержинского,Посёлок,51.72639,39.71528,,,,186
678,Ракитное (Воронежская область),Ракитное,Посёлок,51.7913444,39.5263417,,,,
679,Рогачёвка (Воронежская область),Рогачёвка,Село,51.5175,39.56472,,,,820 человек (2010
680,Рождественская Хава,Рождественская Хава,Село,51.65667,39.69972,1706,,,2357 человек (2007
681,Рыкань,Рыкань,Село,51.62083,39.55194,1690,,,052 человека (2010
682,Садовый (Воронежская область),Садовый,Посёлок,51.5109054,39.6842051,,,,205
683,Софьино (Воронежская область),Софьино,Посёлок,51.51833344,39.39777756,,,,0
684,Стахановский (Воронежская область),Стахановский,Посёлок,51.7808315,39.4061296,,,,19
685,Тамлык (посёлок),Тамлык,Посёлок,51.5633316,39.538887,,,,7
686,Тимирязево (Новоусманский район),Тимирязево,Посёлок,51.57778,39.65,,,,750
687,Трудовое (Воронежская область),Трудовое,Посёлок,51.7647904,39.7247815,,,,512
688,Трудолюбовка (Воронежская область),Трудолюбовка,Село,51.65527725,39.88305664,,,,101
689,Успенская Хава,Успенская Хава,Посёлок,51.6019459,39.682762,,,,15
690,Ушановка,Ушановка,Село,51.5321074,39.6307754,,,,7 человек (2010
691,Хлебное (Воронежская область),Хлебное,Село,51.61263,39.808779,1806,,,39 человек (2007
692,Хреновое (Новоусманский район),Хреновое,Село,51.66528,39.58444,,,,999
693,Шуберское,Шуберское,Посёлок,51.7541335,39.4325387,,,,2150
694,Ёлка (Воронежская область),Ёлка,Посёлок,51.129,41.2814,,,,
695,Аверинка (Воронежская область),Аверинка,Посёлок,50.85,41.37,,,,1 челове
696,Алексеевский (Новохопёрский район),Алексеевский,Посёлок,51.1083,41.3814,,,,2
697,Алфёровка (Воронежская область),Алфёровка,Село,51.2,41.68,,,,13
698,Башковский,Башковский,Посёлок,51.238,41.25,,,,22
699,Берёзовка (Новохопёрский район),Берёзовка,Посёлок,51.06,41.24,,,,52
700,Богдань (Воронежская область),Богдань,Хутор,51.165,41.818,,,,39
701,Большевик (Воронежская область),Большевик,Посёлок,51.0212055,41.6102886,,,,171
702,Бороздиновский,Бороздиновский,Посёлок,51.207,41.34,,,,75
703,Бурляевка,Бурляевка,Село,50.99611,41.33667,,,,51
704,Варварино (Воронежская область),Варварино,Посёлок,51.2093012,41.7204093,,,,165
705,Владимировка (Новохопёрский район),Владимировка,Посёлок,50.95139,41.29667,,,,
706,Глинкино (Воронежская область),Глинкино,Посёлок,51.1133093,41.8092012,,,,1
707,Горелые Ольхи,Горелые Ольхи,Посёлок,51.187,41.176,,,,5
708,Димитровский (Воронежская область),Димитровский,Посёлок,51.1344667,41.146775,,,,2
709,Долгинка,Долгинка,Посёлок,51.0480987,41.045984,,,,90
710,Долиновский,Долиновский,Посёлок,50.993,41.102,,,,85
711,Елань-Колено,Елань-Колено,Село,51.15,41.21667,1725,1712,"8,8 км²",",6 тыс. человек человек (2011"
712,Елань-Коленовский,Елань-Коленовский,Посёлок городского типа,51.16333,41.14639,,1936,,3493
713,Жёлтые Пруды,Жёлтые Пруды,Посёлок,50.984,41.216,,,,49
714,Замельничный,Замельничный,Хутор,51.11,41.66,,,,327
715,Заря (Новохопёрский район),Заря,Посёлок,51.09,41.247,,,,6
716,Ивановка (Новохопёрский район),Ивановка,Деревня,51.0742478,41.4151096,,,,13
717,Калиново (Новохопёрский район),Калиново,Посёлок,51.1684458,41.5944314,,,,20
718,Каменка-Садовка,Каменка-Садовка,Село,51.03,41.63,в 1880 году,,,7
719,Камышановский,Камышановский,Посёлок,50.935,41.385,,,,47 челове
720,Карачановский,Карачановский,Посёлок,50.9561828,41.1997819,,,,74
721,Красное (Новохопёрский район),Красное,Село,51.16,41.5,1710,,,2382
722,Ленинский (Воронежская область),Ленинский,Посёлок,51.287,41.264,,,,45
723,Лепёхинка (Воронежская область),Лепёхинка,Посёлок,50.9951169,41.0250494,,,,74
724,Михайловский (Новохопёрский район),Михайловский,Посёлок,50.9117833,41.2844,,,,35
725,Московский 2-й,Московский 2-й,Посёлок,51.298,41.218,,,,58
726,Некрылово,Некрылово,Посёлок,51.13,41.5,,,,762
727,Некрыловский,Некрыловский,Посёлок,51.05222,41.27528,,,,41
728,Новоильменский,Новоильменский,Посёлок,51.146994,41.7796325,,,,31
729,Новопокровский (Воронежская область),Новопокровский,Посёлок,51.25,41.31,,,,436
730,Новоржавец,Новоржавец,Посёлок,51.26,41.57,,,,9 человек (2011
731,Новохопёрск,Новохопёрск,Город,51.1,41.61667,в 1710 году,,14[1] км²,5855
732,Новохопёрский,Новохопёрский,Посёлок городского типа,51.07361,41.56806,,,,7771
733,Озёрный (Воронежская область),Озёрный,Посёлок,51.18908,41.8200588,,,,39
734,Пески (Новохопёрский район),Пески,Посёлок,51.1453861,41.1581083,,,,
735,Пионерский (Воронежская область),Пионерский,Посёлок,50.85,41.28,,,,35
736,Плаутино (Воронежская область),Плаутино,Посёлок,51.0603863,41.6275406,,,,22
737,Подгорное (Новохопёрский район),Подгорное,Село,51.37,41.1488,1762 год,,,62 человека (2011
